gisjoin,centroid_lat,centroid_lon,lat_sq,lon_sq,lat_x_lon
G4500010,34.2225212028551,-82.45879481713007,1171.1809574798667,6799.452842693557,-2821.947853991112
G2200010,30.290492136029147,-92.41201188456904,917.5139138428436,8539.979940553727,-2799.20531926417
G5100010,37.7660816438654,-75.64656755599876,1426.2769227311069,5722.403183004284,-2856.8744463980283
G1600010,43.45062207983264,-116.24082016589009,1887.95655912444,13511.9282728388,-5050.735947277879
G1900010,41.33066008473851,-94.470941266493,1708.2234630401972,8924.75874377717,-3904.5463613707184
G2100010,37.10406983367789,-85.28076821371721,1376.7119982224456,7272.80942712176,-3164.263579271461
G2900010,40.1905320705339,-92.60072042764922,1615.2788681126135,8574.893423719652,-3721.6722241019793
G4000010,35.88369657949519,-94.6586446243083,1287.6396802092745,8960.25900211109,-3396.702082324942
G0800010,39.87319896039196,-104.36513709259722,1589.8719953350026,10892.081840356614,-4161.371875821712
G1600030,44.88894237541362,-116.45353847365796,2015.0171475832049,13561.426623035732,-5227.476177957045
G1700010,39.98773633618256,-91.18845317457692,1599.019057292055,8315.333992372007,-3646.419822449312
G1800010,40.74552920233031,-84.93665504661156,1660.198149977952,7214.235370507085,-3460.788958549967
G1900030,41.028966787589845,-94.69918355436062,1683.3761156571504,8967.935365862484,-3885.409656863736
G2800010,31.48286251755826,-91.35363595912295,991.1706322994748,8345.486802951966,-2876.0739613801347
G3100010,40.52438150516063,-98.50120632432244,1642.2254963758053,9702.48764734674,-3991.700463805384
G3800010,46.09698750506347,-102.5283788313482,2124.932257041977,10512.068465784449,-4726.249397903071
G3900010,38.84555462555355,-83.47200181372015,1508.9771141668646,6967.5750867897,-3242.516206159171
G4200010,39.87141671614109,-77.21791093076601,1589.7298709521751,5962.605768511713,-3078.7875046704376
G5300010,46.98337127672396,-118.5609973169491,2207.43717652649,14056.71008478961,-5570.395355880893
G5500010,43.96920972657415,-89.77053817607374,1933.2914039794628,8058.7495244219135,-3947.1396203312174
G5000010,44.03070414906642,-73.1409688422881,1938.7029078626151,5349.601323188559,-3220.448360270873
G4500030,33.544277164726076,-81.63502336192609,1125.2185305039632,6664.277039302218,-2738.387850001337
G2700010,46.60727339156464,-93.41534199269807,2172.237932996049,8726.42611961274,-4353.834383220188
G1200010,29.67450571646559,-82.35722278339968,880.576289516549,6782.712144594527,-2443.909878278224
G3700010,36.04390620011204,-79.3994597537144,1299.1631741624751,6304.274209181712,-2861.8666797024525
G0600010,37.64648629047288,-121.8858525554951,1417.2579300187624,14856.161053179892,-4588.5740772330455
G0800030,37.57283049582817,-105.78840014596062,1411.7175914682357,11191.185605441882,-3974.7696271090226
G3600010,42.60011713919593,-73.97375454486313,1814.769980273215,5472.116361463658,-3151.2906088372965
G5600010,41.67062190083664,-105.7179195592345,1736.4407296024858,11176.278515932778,-4405.331454095923
G5100030,38.02287890610648,-78.55618279480294,1445.7393203084368,6171.073855290493,-2986.932225732757
G2600010,44.685342667760665,-83.59376604941332,1996.779849335192,6987.917722324047,-3735.416080806652
G2800030,34.880785051106265,-88.58024030326024,1216.6691657814783,7846.45897218333,-3089.7483217933604
G1700030,37.191568628555416,-89.33761767601781,1383.2127770525474,7981.209932026331,-3322.606138909262
