gisjoin,year,n_couples,n_same_bpl,icm_rate
G1705.00,1880,1769,850.0,0.4804974561899378
G17011.0,1880,3096,1246.0,0.4024547803617571
G17013.0,1880,644,251.0,0.389751552795031
G17017.0,1880,1346,584.0,0.4338781575037147
G17019.0,1880,4654,1810.0,0.3889127632144392
G17025.0,1880,2278,951.0,0.4174714661984197
G17029.0,1880,3770,1489.0,0.3949602122015915
G17035.0,1880,2011,867.0,0.4311287916459473
G17037.0,1880,2514,1129.0,0.449085123309467
G17043.0,1880,1117,487.0,0.4359892569382274
G17045.0,1880,3709,1478.0,0.3984901590725263
G17049.0,1880,1739,678.0,0.3898792409430707
G17057.0,1880,5759,2368.0,0.411182496961278
G17059.0,1880,1539,803.0,0.5217673814165043
G17065.0,1880,2474,1286.0,0.5198059822150364
G17069.0,1880,856,369.0,0.4310747663551402
G17073.0,1880,2758,1042.0,0.3778100072516316
G17081.0,1880,3052,1448.0,0.4744429882044561
G1701130,1880,6430,2489.0,0.3870917573872472
G1701190,1880,2081,875.0,0.4204709274387314
G1701410,1880,3235,1564.0,0.4834621329211746
G1701490,1880,4568,1809.0,0.396015761821366
G1701550,1880,535,214.0,0.4
G1701590,1880,1943,779.0,0.4009264024704065
G1702030,1880,1733,709.0,0.4091171379111367
G1801.00,1880,1571,855.0,0.5442393380012731
G1803.00,1880,3907,1743.0,0.4461223445098541
G1805.00,1880,2944,1570.0,0.5332880434782609
G1809.00,1880,1202,605.0,0.5033277870216306
G18015.0,1880,2430,1236.0,0.508641975308642
G18017.0,1880,3320,1566.0,0.4716867469879518
G18021.0,1880,3121,1572.0,0.5036847164370394
G18025.0,1880,1877,1332.0,0.7096430474160895
G18035.0,1880,3540,1847.0,0.5217514124293785
G18085.0,1880,4116,2084.0,0.5063168124392614
G18087.0,1880,2397,1040.0,0.4338756779307468
G18091.0,1880,2413,988.0,0.4094488188976378
G18093.0,1880,2710,1839.0,0.6785977859778598
G18095.0,1880,4118,2289.0,0.5558523555123847
G18099.0,1880,3119,1541.0,0.4940686117345303
G1801090,1880,2906,1732.0,0.5960082587749483
G1801190,1880,2408,1395.0,0.5793189368770764
G1801210,1880,3025,1721.0,0.5689256198347108
G1801230,1880,1462,982.0,0.6716826265389877
G1801250,1880,2386,1560.0,0.6538139145012574
G1801270,1880,1498,593.0,0.3958611481975967
G1801750,1880,2788,2133.0,0.7650645624103299
G1801770,1880,5019,2679.0,0.5337716676628811
G1801790,1880,2651,1317.0,0.4967936627687665
G1801810,1880,1920,949.0,0.4942708333333333
G1801830,1880,2412,1237.0,0.5128524046434494
G1901.00,1880,1471,536.0,0.3643779741672331
G1905.00,1880,783,246.0,0.3141762452107279
G1907.00,1880,2462,897.0,0.3643379366368806
G19011.0,1880,2504,904.0,0.3610223642172524
G19015.0,1880,1948,726.0,0.3726899383983573
G19017.0,1880,1150,416.0,0.3617391304347826
G19019.0,1880,1872,746.0,0.3985042735042735
G19021.0,1880,616,220.0,0.3571428571428571
G19027.0,1880,854,303.0,0.3548009367681499
G19029.0,1880,1770,621.0,0.3508474576271186
G19031.0,1880,1962,863.0,0.4398572884811417
G19033.0,1880,1048,363.0,0.3463740458015267
G19043.0,1880,1697,578.0,0.3406010606953447
G19045.0,1880,2212,823.0,0.3720614828209765
G19049.0,1880,2524,928.0,0.3676703645007924
G19051.0,1880,2405,900.0,0.3742203742203742
G1901110,1880,2478,754.0,0.3042776432606941
G1901150,1880,1564,555.0,0.3548593350383631
G1901130,1880,4046,1493.0,0.3690064260998517
G1901290,1880,1719,567.0,0.3298429319371728
G1901330,1880,993,301.0,0.3031218529707956
G1901350,1880,1511,543.0,0.3593646591661151
G1901370,1880,1774,664.0,0.3742953776775648
G1901430,1880,239,86.0,0.3598326359832636
G1901510,1880,220,87.0,0.3954545454545454
G1901570,1880,2209,841.0,0.3807152557718424
G1901710,1880,2099,787.0,0.374940447832301
G20049.0,1880,1452,475.0,0.3271349862258953
G20051.0,1880,458,216.0,0.4716157205240174
G20059.0,1880,2177,833.0,0.382636655948553
G20063.0,1880,122,58.0,0.4754098360655737
G20065.0,1880,533,196.0,0.3677298311444653
G20073.0,1880,1340,491.0,0.3664179104477612
G20083.0,1880,152,71.0,0.4671052631578947
G20087.0,1880,1923,681.0,0.3541341653666147
G20089.0,1880,2493,912.0,0.3658243080625752
G20095.0,1880,543,238.0,0.438305709023941
G2001010,1880,83,42.0,0.5060240963855421
G2001110,1880,1913,737.0,0.3852587558808155
G2001130,1880,1518,542.0,0.3570487483530962
G2001170,1880,1463,548.0,0.3745727956254272
G2001190,1880,25,15.0,0.6
G2001270,1880,1093,442.0,0.404391582799634
G2001310,1880,1310,488.0,0.3725190839694656
G2001330,1880,1894,708.0,0.3738120380147835
G2001350,1880,515,257.0,0.4990291262135922
G2001430,1880,1229,510.0,0.4149715215622457
G2001450,1880,714,343.0,0.4803921568627451
G2001470,1880,1678,563.0,0.3355184743742551
G2001510,1880,242,115.0,0.4752066115702479
G2001530,1880,158,62.0,0.3924050632911392
G21045.0,1880,1620,1379.0,0.8512345679012345
G21053.0,1880,1050,704.0,0.6704761904761904
G21055.0,1880,1320,819.0,0.6204545454545455
G21057.0,1880,1163,910.0,0.7824591573516767
G21061.0,1880,1079,915.0,0.8480074142724745
G21065.0,1880,1470,1264.0,0.8598639455782313
G21069.0,1880,1949,1750.0,0.8978963571062083
G21073.0,1880,1733,1487.0,0.8580496249278707
G21075.0,1880,894,419.0,0.4686800894854586
G21077.0,1880,603,460.0,0.7628524046434494
G21083.0,1880,3360,1879.0,0.5592261904761905
G21087.0,1880,1466,1363.0,0.9297407912687584
G21089.0,1880,1795,1058.0,0.5894150417827299
G21091.0,1880,1095,836.0,0.7634703196347032
G21093.0,1880,2682,2349.0,0.8758389261744967
G21095.0,1880,832,719.0,0.8641826923076923
G21099.0,1880,2139,1835.0,0.857877512856475
G2101010,1880,2153,1445.0,0.6711565257779842
