gisjoin,state,county,year,total_farms,farms_reporting_fert,fert_expenditure_dollars,fert_tons_purchased,share_farms_reporting_fert,fert_exp_per_farm
G0101070,Alabama,Pickens,1910,4144.0,2174.0,67436.0,,0.5246138996138996,16.273166023166024
G0101090,Alabama,Pike,1910,4468.0,3837.0,314227.0,,0.8587735004476276,70.32833482542524
G0101110,Alabama,Randolph,1910,4300.0,3708.0,121117.0,,0.8623255813953489,28.16674418604651
G0101130,Alabama,Russell,1910,2986.0,2227.0,151587.0,,0.745813797722706,50.76590756865372
G0101150,Alabama,St Clair,1910,2611.0,1757.0,40238.0,,0.6729222520107239,15.410953657602452
G0101170,Alabama,Shelby,1910,2763.0,1830.0,53006.0,,0.6623235613463626,19.184220050669563
G0101190,Alabama,Sumter,1910,4624.0,586.0,38761.0,,0.12673010380622837,8.382569204152249
G0101210,Alabama,Talladega,1910,4546.0,3566.0,122597.0,,0.7844258688957325,26.968103827540695
G0101230,Alabama,Tallapoosa,1910,4929.0,3848.0,172121.0,,0.7806857374721039,34.92006492189085
G0101250,Alabama,Tuscaloosa,1910,4715.0,3210.0,122479.0,,0.6808059384941676,25.97645811240721
G0101270,Alabama,Walker,1910,2655.0,1816.0,65492.0,,0.6839924670433145,24.667419962335217
G0101290,Alabama,Washington,1910,1676.0,920.0,48464.0,,0.548926014319809,28.916467780429596
G0101310,Alabama,Wilcox,1910,6661.0,2167.0,96275.0,,0.3253265275484162,14.453535505179403
G0101330,Alabama,Winston,1910,2163.0,1712.0,39402.0,,0.7914932963476653,18.216366158113733
G0450015,Arizona Territory,Apache,1910,803.0,1.0,500.0,,0.0012453300124533001,0.6226650062266501
G0450035,Arizona Territory,Cochise,1910,1042.0,6.0,435.0,,0.005758157389635317,0.41746641074856045
G0450055,Arizona Territory,Coconino,1910,656.0,0.0,0.0,,0.0,0.0
G0450075,Arizona Territory,Gila,1910,515.0,0.0,0.0,,0.0,0.0
G0450095,Arizona Territory,Graham,1910,889.0,3.0,136.0,,0.003374578177727784,0.1529808773903262
G0450135,Arizona Territory,Maricopa,1910,2229.0,14.0,4409.0,,0.006280843427545985,1.978017048003589
G0450155,Arizona Territory,Mohave,1910,111.0,0.0,0.0,,0.0,0.0
G0450175,Arizona Territory,Navajo,1910,977.0,1.0,5.0,,0.0010235414534288639,0.00511770726714432
G0450195,Arizona Territory,Pima,1910,405.0,3.0,365.0,,0.007407407407407408,0.9012345679012346
G0450215,Arizona Territory,Pinal,1910,614.0,0.0,0.0,,0.0,0.0
G0450235,Arizona Territory,Santa Cruz,1910,176.0,0.0,0.0,,0.0,0.0
G0450255,Arizona Territory,Yavapai,1910,522.0,3.0,175.0,,0.005747126436781609,0.33524904214559387
G0450275,Arizona Territory,Yuma,1910,288.0,2.0,55.0,,0.006944444444444444,0.1909722222222222
G0459995,Arizona Territory,Indian Reservations [multi-reservation reporting area],1910,0.0,0.0,0.0,,,
G0500010,Arkansas,Arkansas,1910,2194.0,79.0,2290.0,,0.03600729261622607,1.0437556973564266
G0500030,Arkansas,Ashley,1910,3421.0,636.0,18360.0,,0.185910552470038,5.366851797719965
G0500050,Arkansas,Baxter,1910,1625.0,10.0,155.0,,0.006153846153846154,0.09538461538461539
G0500070,Arkansas,Benton,1910,4640.0,229.0,6250.0,,0.04935344827586207,1.3469827586206897
G0500090,Arkansas,Boone,1910,2241.0,22.0,419.0,,0.009817045961624275,0.18697010263275324
G0500110,Arkansas,Bradley,1910,1419.0,690.0,19918.0,,0.48625792811839325,14.036645525017619
G0500130,Arkansas,Calhoun,1910,1319.0,627.0,16879.0,,0.47536012130401817,12.796815769522365
G0500150,Arkansas,Carroll,1910,2376.0,66.0,774.0,,0.027777777777777776,0.32575757575757575
G0500170,Arkansas,Chicot,1910,3794.0,7.0,614.0,,0.0018450184501845018,0.161834475487612
G0500190,Arkansas,Clark,1910,2854.0,360.0,8718.0,,0.12613875262789068,3.0546601261387525
G0500210,Arkansas,Clay,1910,2943.0,1.0,70.0,,0.0003397893306150187,0.02378525314305131
G0500230,Arkansas,Cleburne,1910,1799.0,686.0,11481.0,,0.38132295719844356,6.381878821567538
G0500250,Arkansas,Cleveland,1910,1995.0,864.0,25047.0,,0.4330827067669173,12.554887218045113
G0500270,Arkansas,Columbia,1910,3543.0,1726.0,75395.0,,0.48715777589613324,21.279988710132656
G0500290,Arkansas,Conway,1910,3985.0,344.0,6288.0,,0.0863237139272271,1.5779171894604769
G0500310,Arkansas,Craighead,1910,3106.0,38.0,894.0,,0.012234385061171926,0.28783000643915
G0500330,Arkansas,Crawford,1910,3322.0,166.0,3606.0,,0.049969897652016856,1.0854906682721253
G0500350,Arkansas,Crittenden,1910,3643.0,9.0,527.0,,0.0024704913532802636,0.1446609936865221
G0500370,Arkansas,Cross,1910,1821.0,12.0,269.0,,0.006589785831960461,0.14772103239978035
G0500390,Arkansas,Dallas,1910,1446.0,558.0,16133.0,,0.38589211618257263,11.15698478561549
G0500410,Arkansas,Desha,1910,2433.0,7.0,643.0,,0.002877106452938759,0.2642827784628031
G0500430,Arkansas,Drew,1910,3515.0,684.0,15360.0,,0.1945945945945946,4.369843527738265
G0500450,Arkansas,Faulkner,1910,4091.0,956.0,18044.0,,0.2336836959178685,4.410657540943535
G0500470,Arkansas,Franklin,1910,3165.0,332.0,9974.0,,0.10489731437598736,3.151342812006319
G0500490,Arkansas,Fulton,1910,2064.0,23.0,243.0,,0.011143410852713179,0.11773255813953488
G0500510,Arkansas,Garland,1910,1729.0,155.0,5969.0,,0.0896471949103528,3.4522845575477152
G0500530,Arkansas,Grant,1910,1470.0,741.0,16598.0,,0.5040816326530613,11.291156462585034
G0500550,Arkansas,Greene,1910,3126.0,35.0,906.0,,0.011196417146513116,0.28982725527831094
