gisjoin,year,n_married,n_divorced,n_elderly,n_elderly_nonrel,mean_nchild,divorce_ratio,elderly_alone_share
G17065.0,1850,0.0,0.0,78.0,5.0,3.4879227053140096,,0.0641025641025641
G17069.0,1850,0.0,0.0,32.0,4.0,3.190889370932755,,0.125
G17073.0,1850,0.0,0.0,38.0,1.0,2.549800796812749,,0.0263157894736842
G17081.0,1850,0.0,0.0,104.0,5.0,3.4910714285714284,,0.048076923076923
G17085.0,1850,0.0,0.0,198.0,17.0,2.5706488781079444,,0.0858585858585858
G17087.0,1850,0.0,0.0,50.0,2.0,3.3437057991513437,,0.04
G17089.0,1850,0.0,0.0,235.0,14.0,2.8190822053482996,,0.0595744680851063
G17099.0,1850,0.0,0.0,215.0,13.0,2.7344316309719936,,0.0604651162790697
G1701010,1850,0.0,0.0,85.0,9.0,3.27783155856728,,0.1058823529411764
G1701070,1850,0.0,0.0,49.0,2.0,3.466183574879227,,0.0408163265306122
G1701110,1850,0.0,0.0,207.0,9.0,2.939823687236489,,0.0434782608695652
G1701130,1850,0.0,0.0,123.0,2.0,3.2176403207331044,,0.016260162601626
G1701150,1850,0.0,0.0,43.0,0.0,3.2290748898678414,,0.0
G1701190,1850,0.0,0.0,198.0,24.0,2.6524242424242424,,0.1212121212121212
G1701410,1850,0.0,0.0,152.0,8.0,3.0529994175888175,,0.0526315789473684
G1701490,1850,0.0,0.0,230.0,14.0,3.2901686286986953,,0.0608695652173913
G1701550,1850,0.0,0.0,44.0,2.0,2.8335704125177807,,0.0454545454545454
G1701590,1850,0.0,0.0,67.0,3.0,3.1933621933621934,,0.044776119402985
G1701770,1850,0.0,0.0,141.0,14.0,3.15319781854239,,0.0992907801418439
G18071.0,1850,0.0,0.0,172.0,5.0,3.21797520661157,,0.0290697674418604
G18073.0,1850,0.0,0.0,32.0,2.0,3.4974093264248705,,0.0625
G18079.0,1850,0.0,0.0,191.0,10.0,3.4249138355489905,,0.0523560209424083
G18085.0,1850,0.0,0.0,125.0,6.0,3.2775601566871853,,0.048
G18087.0,1850,0.0,0.0,109.0,5.0,3.0752089136490253,,0.0458715596330275
G18091.0,1850,0.0,0.0,173.0,12.0,2.9643536121673004,,0.0693641618497109
G18093.0,1850,0.0,0.0,193.0,6.0,3.4901065449010655,,0.0310880829015544
G18095.0,1850,0.0,0.0,180.0,7.0,3.3539114043355327,,0.0388888888888888
G18099.0,1850,0.0,0.0,92.0,4.0,3.3646408839779007,,0.0434782608695652
G1801090,1850,0.0,0.0,194.0,8.0,3.4695916594265857,,0.0412371134020618
