gisjoin,year,cv_age_first,cv_children,cv_nchild,n_mothers,tni_raw,tni_z
G0101.00,1900,0.1805315174490296,0.3818899306504925,0.4305659739511795,236,-2.0595650767874454,-1.4665490153083474
G0101010,1900,0.2050749228910603,0.4594126380584079,0.528545321310685,714,0.2515898859894391,0.179148939607617
G0101030,1900,0.2206584482053914,0.4525488976915571,0.4934675984317708,712,-0.0206145942517375,-0.0146789791891518
G0101050,1900,0.1818150943550843,0.4043591194838989,0.443769493578773,241,-1.6101677519285011,-1.146547859878915
G0101070,1900,0.1956882583813937,0.4076189357162083,0.4520470023051495,386,-1.3254260231293358,-0.9437925759143144
G0101090,1900,0.1876217366267165,0.4192887518934916,0.454113682324326,620,-1.239543886305378,-0.8826387116294278
G01011.0,1900,0.2200986960720275,0.4351671759685528,0.5033202318210306,206,-0.1593129076213819,-0.113441517547231
G0101110,1900,0.1767112958840345,0.3735207094195981,0.4031429674052885,585,-2.4936070544056976,-1.7756161295514334
G0101130,1900,0.1872569064758015,0.4843773162889793,0.5390096755563988,233,0.490408234642509,0.3492036846613813
G0101150,1900,0.1864908178623594,0.383838065691757,0.4195423718205714,554,-2.0781704558095933,-1.4797972979636982
G0101170,1900,0.1874352893881832,0.3841857705175791,0.4306002293049749,585,-1.950392091622782,-1.3888104987176266
G0101190,1900,0.2161002223148582,0.418885912402803,0.4617732497298786,194,-0.844845491155741,-0.6015868773007065
G0101210,1900,0.1925233847887626,0.4007238279680432,0.4594591814347613,587,-1.378113001950046,-0.9813092525078062
G0101230,1900,0.2019360133861951,0.3900038419389752,0.4417546502954876,674,-1.5950695941592905,-1.1357969549140938
G0101250,1900,0.1877411009528602,0.3966942000691912,0.4460859055439091,726,-1.6221166845948658,-1.1550563045177105
G0101270,1900,0.1905930930759699,0.3705207555847366,0.4313688943175781,648,-2.089673848244071,-1.4879884879569774
G0101290,1900,0.2015089450976238,0.390172737462079,0.4467754244823131,227,-1.5465884775421288,-1.1012751354108954
G01013.0,1900,0.2193575722050968,0.4121196005258825,0.4501381327140138,465,-1.0168295746666238,-0.724051125293791
G0101310,1900,0.1991240851677095,0.4218521457555034,0.4647116759005158,225,-0.9673471430246804,-0.6888163020694874
G0101330,1900,0.1954822924063533,0.3497689700719266,0.4139051358994639,309,-2.4895756726773848,-1.772745514308136
G01015.0,1900,0.2130839576478696,0.4242083883562685,0.4893171757578569,848,-0.5276837549938553,-0.3757463650954674
G01017.0,1900,0.182817717365286,0.4132952991061677,0.4541863774434367,563,-1.373343528354433,-0.9779130661556392
G01019.0,1900,0.1953093127989635,0.3919858270951994,0.4460886845868829,632,-1.5994560651308825,-1.1389204176085097
G01021.0,1900,0.1883744696478333,0.4060930627057213,0.4412241509483979,468,-1.5386392681175205,-1.0956147630412476
G01023.0,1900,0.2403251619260188,0.364265081658999,0.408772927400038,270,-1.8404706083186255,-1.3105390010515294
G01025.0,1900,0.1961164730287778,0.4001792753612989,0.4385171849383935,405,-1.5576934689565018,-1.109182637051562
G01027.0,1900,0.1840866276084369,0.3854281159165182,0.4221532626474795,498,-2.057549247463347,-1.4651136090938968
G01029.0,1900,0.2125609187975761,0.4154794659343183,0.4393305962021014,393,-1.158669750469915,-0.825050881261661
G0103.00,1900,0.2050096794338183,0.4131284114901465,0.4428762006531634,272,-1.2395053693117983,-0.8826112849364606
G01031.0,1900,0.2048002884732378,0.3694972565863166,0.4085789804947385,568,-2.174365699325065,-1.5482947886450869
G01033.0,1900,0.2230398436301679,0.4187503504887921,0.4864851885034222,439,-0.5168641056827958,-0.3680420462458457
G01035.0,1900,0.1923901079372755,0.3705622645726683,0.4165560334719329,368,-2.2194104187646273,-1.5803696619683292
G01037.0,1900,0.1846721917895855,0.3859909859994304,0.4250906122228255,368,-2.0135254170947503,-1.433765677530659
G01039.0,1900,0.180587565043891,0.3798326990439166,0.4036429055170858,432,-2.3602193886528866,-1.6806351298885358
G01041.0,1900,0.1973446680474761,0.3861190157193205,0.4377245086488001,521,-1.7399709508275032,-1.2389764777821362
G01043.0,1900,0.1923155026741758,0.3801548245042068,0.4088309797342677,550,-2.1704666371807817,-1.5455183938553465
G01045.0,1900,0.1931864147003043,0.399118189154485,0.4438154925734769,589,-1.551164817004615,-1.1045337972556062
G01047.0,1900,0.2138863968633489,0.4388226930786961,0.5414778456856674,310,0.2073111873061883,0.1476195246428098
G01049.0,1900,0.199099518552856,0.3806779224129714,0.411128005598868,737,-2.063357395036396,-1.4692494012570203
G0105.00,1900,0.2280653784119262,0.4054037063505518,0.4556048623436555,440,-0.9525747787758652,-0.6782973840284665
G01051.0,1900,0.186125719208948,0.4107302693372234,0.4536989218564793,474,-1.3751914642327,-0.9792289209315672
G01053.0,1900,0.2322712334136749,0.3836236695779175,0.4066931180030355,269,-1.6937407231747532,-1.2060574427850117
G01055.0,1900,0.231809862947577,0.4048690690155039,0.4588099775653665,793,-0.8847721290915854,-0.6300173319677277
G01057.0,1900,0.1689893367152499,0.3899039992917963,0.4311343526771008,422,-2.0771519153631894,-1.479072028582526
G01059.0,1900,0.2127731273675497,0.3722493113212613,0.4186963084729421,475,-1.944464935935984,-1.384589964764113
G01061.0,1900,0.1721677093551294,0.3738923103368142,0.4003641437054696,541,-2.568297223311201,-1.828800559068192
G01063.0,1900,0.2035584320212098,0.4568827902817504,0.5315472422813396,122,0.23111026510963,0.1645660705476986
G01065.0,1900,0.1961729143156262,0.4239925126488368,0.4908685631791045,188,-0.7061265030882728,-0.5028096171656478
G01067.0,1900,0.2041909042957596,0.4039262576361011,0.4449302420706541,833,-1.3509986383745545,-0.9620019998987382
G0107.00,1900,0.2152512455893796,0.3937221936019361,0.4467419255782117,398,-1.3439618982888748,-0.9569913671394514
G01071.0,1900,0.2239741208009143,0.4025979947437846,0.4414849040710057,913,-1.1799780000615834,-0.8402237897600657
G01073.0,1900,0.196716308644967,0.455834568994181,0.5225411863806799,2473,0.0480978246784567,0.0342488898339112
G01075.0,1900,0.2158093822354373,0.4308901854491319,0.4444551744671338,448,-0.8636274553368342,-0.6149609004795727
G01077.0,1900,0.2033575033845408,0.4300698745718866,0.4920485512484659,601,-0.531532945385651,-0.3784872478393268
G01079.0,1900,0.2045666083947113,0.4141688915152933,0.4567216382000928,507,-1.089811595857767,-0.7760192386199474
G01081.0,1900,0.2134627070288584,0.4482771464541468,0.4928371787525269,437,-0.1655887400129237,-0.1179103327926382
G01083.0,1900,0.1959317622014842,0.4322597686222004,0.4735977772284557,424,-0.7738631779382743,-0.5510426907019705
