gisjoin,state,county,year,total_farms,farm_size_gini
G0501050,Arkansas,Perry,1860,399.0,0.4541119476047398
G0501070,Arkansas,Phillips,1860,577.0,0.5667785458950143
G0501090,Arkansas,Pike,1860,265.0,0.4754839939258685
G0501110,Arkansas,Poinsett,1860,217.0,0.5618055384382322
G0501130,Arkansas,Polk,1860,480.0,0.4276579228628816
G0501150,Arkansas,Pope,1860,901.0,0.5103096237086489
G0501170,Arkansas,Prairie,1860,615.0,0.5444468955946452
G0501190,Arkansas,Pulaski,1860,655.0,0.6068853324040815
G0501210,Arkansas,Randolph,1860,497.0,0.5598503148536509
G0501230,Arkansas,St Francis,1860,589.0,0.5403062104923093
G0501250,Arkansas,Saline,1860,572.0,0.4809611990734892
G0501270,Arkansas,Scott,1860,566.0,0.502240028566245
G0501290,Arkansas,Searcy,1860,437.0,0.4752812788021004
G0501310,Arkansas,Sebastian,1860,650.0,0.5063408331026624
G0501330,Arkansas,Sevier,1860,794.0,0.5913812376939652
G0501390,Arkansas,Union,1860,560.0,0.4627782153845419
G0501410,Arkansas,Van Buren,1860,464.0,0.506701413140107
G0501430,Arkansas,Washington,1860,1133.0,0.4515464777117279
G0501450,Arkansas,White,1860,697.0,0.5284058976074959
G0501490,Arkansas,Yell,1860,564.0,0.5094689685092322
G0600010,California,Alameda,1860,658.0,0.451931487088766
G0600050,California,Amador,1860,392.0,0.5255124701553273
G0600070,California,Butte,1860,411.0,0.4744171781119094
G0600090,California,Calaveras,1860,358.0,0.5733928599850389
G0600110,California,Colusa,1860,232.0,0.4349885588122759
G0600130,California,Contra Costa,1860,447.0,0.4687399112182532
G0600150,California,Del Norte,1860,88.0,0.5275074306144376
G0600170,California,El Dorado,1860,484.0,0.5527484775734887
G0600190,California,Fresno,1860,85.0,0.6196548643438191
G0600230,California,Humboldt,1860,129.0,0.4545355692450251
G0600315,California,Klamath,1860,57.0,0.5820126117041875
G0600370,California,Los Angeles,1860,306.0,0.622021486959044
G0600410,California,Marin,1860,261.0,0.3720273508060298
G0600430,California,Mariposa,1860,112.0,0.6043236359055782
G0600450,California,Mendocino,1860,493.0,0.1402310678095889
G0600470,California,Merced,1860,132.0,0.3501081414304555
G0600530,California,Monterey,1860,222.0,0.5163656699548789
G0600550,California,Napa,1860,424.0,0.4366874634223479
G0600570,California,Nevada,1860,152.0,0.5520403094851467
G0600610,California,Placer,1860,254.0,0.4822266918202113
G0600630,California,Plumas,1860,204.0,0.2641902756442708
G0600670,California,Sacramento,1860,1223.0,0.3848893582774514
G0600710,California,San Bernardino,1860,97.0,0.5908793033849755
G0600730,California,San Diego,1860,78.0,0.5276332779929902
G0600750,California,San Francisco,1860,83.0,0.5765682563744312
G0600770,California,San Joaquin,1860,904.0,0.3384135485672503
G0600790,California,San Luis Obispo,1860,56.0,0.4709389309516253
G0600810,California,San Mateo,1860,304.0,0.6152687709578656
G0600830,California,Santa Barbara,1860,78.0,0.6492790602993401
G0600850,California,Santa Clara,1860,665.0,0.4439750553592214
G0600870,California,Santa Cruz,1860,215.0,0.4654311848722577
G0600890,California,Shasta,1860,218.0,0.5308490200982464
G0600910,California,Sierra,1860,39.0,0.3130547963035273
G0600930,California,Siskiyou,1860,297.0,0.3594647262331718
G0600950,California,Solano,1860,307.0,0.5059127646777325
G0600970,California,Sonoma,1860,756.0,0.3636469873745778
G0600990,California,Stanislaus,1860,208.0,0.3829242365674528
G0601010,California,Sutter,1860,549.0,0.4415079256025236
G0601030,California,Tehama,1860,188.0,0.4680082467425368
G0601050,California,Trinity,1860,86.0,0.5637998468312022
G0601070,California,Tulare,1860,469.0,0.5885933419451232
G0601090,California,Tuolumne,1860,245.0,0.614391882924946
G0601130,California,Yolo,1860,644.0,0.3740179761467793
G0601150,California,Yuba,1860,434.0,0.5587617960185661
G0900010,Connecticut,Fairfield,1860,4233.0,0.4947148728393944
G0900030,Connecticut,Hartford,1860,3984.0,0.5138081219918186
G0900050,Connecticut,Litchfield,1860,3637.0,0.4106102244280447
G0900070,Connecticut,Middlesex,1860,2140.0,0.5107560222115559
G0900090,Connecticut,New Haven,1860,3750.0,0.5218101485792186
G0900110,Connecticut,New London,1860,2853.0,0.4558918552437273
G0900130,Connecticut,Tolland,1860,1894.0,0.4505624852204241
G0900150,Connecticut,Windham,1860,2628.0,0.4231024334523173
G1000010,Delaware,Kent,1860,1948.0,0.3479214907642441
G1000030,Delaware,New Castle,1860,1689.0,0.3694508070263986
G1000050,Delaware,Sussex,1860,2971.0,0.4240032471626698
G1100010,District Of Columbia,District Of Columbia,1860,234.0,0.5854327121827411
G1200010,Florida,Alachua,1860,300.0,0.5195628749762263
G1200090,Florida,Brevard,1860,31.0,0.4223020711373088
G1200130,Florida,Calhoun,1860,63.0,0.4572401422795124
G1200190,Florida,Clay,1860,168.0,0.5855525040028464
G1200230,Florida,Columbia,1860,314.0,0.4957753077676086
G1200250,Florida,Dade,1860,0.0,
G1200310,Florida,Duval,1860,165.0,0.5575717957479682
G1200330,Florida,Escambia,1860,41.0,0.5178824879458039
G1200370,Florida,Franklin,1860,3.0,0.1596806387225549
G1200390,Florida,Gadsden,1860,357.0,0.4702560454840709
G1200470,Florida,Hamilton,1860,279.0,0.5177436536451053
G1200530,Florida,Hernando,1860,0.0,
G1200570,Florida,Hillsborough,1860,268.0,0.4707625222084776
G1200590,Florida,Holmes,1860,137.0,0.5275641379506841
G1200630,Florida,Jackson,1860,581.0,0.5995272531040601
G1200650,Florida,Jefferson,1860,324.0,0.5168371799497505
G1200670,Florida,Lafayette,1860,65.0,0.6164101932200016
G1200730,Florida,Leon,1860,319.0,0.485632683323798
G1200750,Florida,Levy,1860,64.0,0.5731151507689977
G1200770,Florida,Liberty,1860,96.0,0.5993225813563806
G1200790,Florida,Madison,1860,361.0,0.5460315788327957
G1200810,Florida,Manatee,1860,84.0,0.6978041656201454
G1200830,Florida,Marion,1860,408.0,0.5174105228930772
G1200870,Florida,Monroe,1860,7.0,0.3707052441229657
G1200890,Florida,Nassau,1860,115.0,0.6123883008027092
G1200895,Florida,New River,1860,305.0,0.5478469631530015
G1200950,Florida,Orange,1860,87.0,0.5744688175004087
G1201070,Florida,Putnam,1860,124.0,0.5762554903892726
G1201090,Florida,St Johns,1860,80.0,0.5100671750181555
G1201130,Florida,Santa Rosa,1860,66.0,0.4276761517615177
G1201190,Florida,Sumter,1860,86.0,0.5687969108455733
G1201210,Florida,Suwannee,1860,155.0,0.531538965495726
G1201230,Florida,Taylor,1860,158.0,0.4181144028778745
G1201270,Florida,Volusia,1860,62.0,0.5754400803092221
G1201290,Florida,Wakulla,1860,213.0,0.5825620618620497
G1201310,Florida,Walton,1860,291.0,0.513150456104241
G1201330,Florida,Washington,1860,219.0,0.5711840195543252
G1300010,Georgia,Appling,1860,401.0,0.5021479434560394
G1300070,Georgia,Baker,1860,207.0,0.5264204176275473
G1300090,Georgia,Baldwin,1860,346.0,0.5383737559062723
G1300110,Georgia,Banks,1860,351.0,0.4910644484802724
G1300190,Georgia,Berrien,1860,359.0,0.4993884293131017
G1300210,Georgia,Bibb,1860,367.0,0.5077472780040186
G1300270,Georgia,Brooks,1860,300.0,0.4388370859138353
G1300290,Georgia,Bryan,1860,201.0,0.5789803263091574
G1300310,Georgia,Bulloch,1860,452.0,0.468408223483189
G1300330,Georgia,Burke,1860,675.0,0.4591983724498092
G1300350,Georgia,Butts,1860,390.0,0.4298271492837485
G1300370,Georgia,Calhoun,1860,235.0,0.5054306671586473
G1300390,Georgia,Camden,1860,91.0,0.5326881889056186
G1300395,Georgia,Campbell,1860,547.0,0.4536409212771412
G1300450,Georgia,Carroll,1860,912.0,0.4828005365733828
G1300455,Georgia,Cass,1860,585.0,0.5015518015195166
G1300470,Georgia,Catoosa,1860,265.0,0.4698075189346379
G1300490,Georgia,Charlton,1860,90.0,0.4125575954693942
G1300510,Georgia,Chatham,1860,215.0,0.6271177178230091
G1300530,Georgia,Chattahoochee,1860,325.0,0.4645283195655801
G1300550,Georgia,Chattooga,1860,407.0,0.4404901152422771
G1300570,Georgia,Cherokee,1860,887.0,0.4997529113030796
G1300590,Georgia,Clarke,1860,389.0,0.4244761214350145
G1300610,Georgia,Clay,1860,222.0,0.4827945864107198
G1300630,Georgia,Clayton,1860,290.0,0.4550949297518488
G1300650,Georgia,Clinch,1860,225.0,0.5219316753385205
G1300670,Georgia,Cobb,1860,832.0,0.5014027395096383
G1300690,Georgia,Coffee,1860,318.0,0.5436370402854509
G1300710,Georgia,Colquitt,1860,135.0,0.4782959093100896
G1300730,Georgia,Columbia,1860,388.0,0.4150246522589652
G1300770,Georgia,Coweta,1860,870.0,0.4888863002642549
G1300790,Georgia,Crawford,1860,363.0,0.4451482288907461
G1300830,Georgia,Dade,1860,151.0,0.4229535267719893
G1300850,Georgia,Dawson,1860,336.0,0.4963051976525214
G1300870,Georgia,Decatur,1860,513.0,0.4850741479559086
G1300890,Georgia,DeKalb,1860,506.0,0.4190165680470636
G1300930,Georgia,Dooly,1860,572.0,0.5031495966155057
G1300950,Georgia,Dougherty,1860,189.0,0.4125929478310232
G1300990,Georgia,Early,1860,200.0,0.4461593871135121
G1301010,Georgia,Echols,1860,121.0,0.5080254535093551
G1301030,Georgia,Effingham,1860,313.0,0.4902971408322919
G1301050,Georgia,Elbert,1860,515.0,0.4820120132040215
G1301070,Georgia,Emanuel,1860,455.0,0.4606685984523748
G1301110,Georgia,Fannin,1860,312.0,0.4755555030821776
G1301130,Georgia,Fayette,1860,522.0,0.4862316266173592
G1301150,Georgia,Floyd,1860,730.0,0.4853993460746368
G1301170,Georgia,Forsyth,1860,649.0,0.4730373108512088
G1301190,Georgia,Franklin,1860,596.0,0.4776724603837678
G1301210,Georgia,Fulton,1860,276.0,0.5007138516209245
G1301230,Georgia,Gilmer,1860,624.0,0.4957691815011322
G1301250,Georgia,Glascock,1860,200.0,0.5035874867112751
G1301270,Georgia,Glynn,1860,84.0,0.554297412276493
G1301290,Georgia,Gordon,1860,822.0,0.4741694368930976
G1301330,Georgia,Greene,1860,382.0,0.3881101438783974
G1301350,Georgia,Gwinnett,1860,822.0,0.5101211187593537
G1301370,Georgia,Habersham,1860,481.0,0.525613278707188
G1301390,Georgia,Hall,1860,700.0,0.4514699853101062
G1301410,Georgia,Hancock,1860,374.0,0.4336376659304524
G1301430,Georgia,Haralson,1860,242.0,0.5177064066013363
G1301450,Georgia,Harris,1860,683.0,0.4169923467173965
G1301470,Georgia,Hart,1860,523.0,0.5177233355391524
G1301490,Georgia,Heard,1860,523.0,0.4688382258537181
G1301510,Georgia,Henry,1860,851.0,0.4604219170186483
G1301530,Georgia,Houston,1860,487.0,0.4275094810660123
G1301550,Georgia,Irwin,1860,149.0,0.5222224792620741
G1301570,Georgia,Jackson,1860,661.0,0.4733107587220956
G1301590,Georgia,Jasper,1860,413.0,0.406296364946917
G1301630,Georgia,Jefferson,1860,475.0,0.426341303354312
G1301670,Georgia,Johnson,1860,204.0,0.4896026188398972
G1301690,Georgia,Jones,1860,345.0,0.4272865550553854
G1301750,Georgia,Laurens,1860,392.0,0.5503900930913699
G1301770,Georgia,Lee,1860,258.0,0.5103704310232434
G1301790,Georgia,Liberty,1860,352.0,0.5842019513508709
G1301810,Georgia,Lincoln,1860,206.0,0.3821346775476479
G1301850,Georgia,Lowndes,1860,359.0,0.5039286710706137
G1301870,Georgia,Lumpkin,1860,376.0,0.5615889064177698
G1301910,Georgia,McIntosh,1860,129.0,0.6486103694951583
G1301930,Georgia,Macon,1860,431.0,0.4888863701749446
G1301950,Georgia,Madison,1860,461.0,0.5034174492917715
G1301970,Georgia,Marion,1860,412.0,0.4538672632802687
G1301990,Georgia,Meriwether,1860,685.0,0.3975795611283352
G1302010,Georgia,Miller,1860,99.0,0.4760983359777573
G1302015,Georgia,Milton,1860,385.0,0.516283343301166
G1302050,Georgia,Mitchell,1860,224.0,0.5167556882009772
G1302070,Georgia,Monroe,1860,662.0,0.3820558064617266
G1302090,Georgia,Montgomery,1860,306.0,0.5331176714799555
G1302110,Georgia,Morgan,1860,318.0,0.4092846954435233
G1302130,Georgia,Murray,1860,443.0,0.5132520644278791
G1302150,Georgia,Muscogee,1860,337.0,0.4655658085532189
G1302170,Georgia,Newton,1860,777.0,0.4453039626227403
G1302210,Georgia,Oglethorpe,1860,436.0,0.3555915081064287
G1302230,Georgia,Paulding,1860,612.0,0.5104838271620027
G1302270,Georgia,Pickens,1860,331.0,0.4697647192689582
G1302290,Georgia,Pierce,1860,220.0,0.4517298923518074
G1302310,Georgia,Pike,1860,650.0,0.4769276913771
G1302330,Georgia,Polk,1860,346.0,0.5133775490586565
G1302350,Georgia,Pulaski,1860,437.0,0.5368896211940088
G1302370,Georgia,Putnam,1860,275.0,0.3456493946991928
G1302390,Georgia,Quitman,1860,147.0,0.5226912459248159
G1302410,Georgia,Rabun,1860,267.0,0.483304484671454
G1302430,Georgia,Randolph,1860,492.0,0.4538325415678782
G1302450,Georgia,Richmond,1860,409.0,0.6056788690781449
G1302490,Georgia,Schley,1860,241.0,0.4524681418002761
G1302510,Georgia,Screven,1860,462.0,0.4567304995223031
G1302550,Georgia,Spalding,1860,432.0,0.4197469447932378
G1302590,Georgia,Stewart,1860,598.0,0.4540781070387524
G1302610,Georgia,Sumter,1860,533.0,0.5230388821786891
G1302630,Georgia,Talbot,1860,465.0,0.3881704967587053
G1302650,Georgia,Taliaferro,1860,239.0,0.4425314326749264
G1302670,Georgia,Tattnall,1860,402.0,0.5031019273652988
G1302690,Georgia,Taylor,1860,375.0,0.516137457612645
G1302710,Georgia,Telfair,1860,246.0,0.5209678589046935
G1302730,Georgia,Terrell,1860,339.0,0.4820865108078291
G1302750,Georgia,Thomas,1860,299.0,0.4233720786271338
G1302810,Georgia,Towns,1860,221.0,0.5443015402447451
G1302850,Georgia,Troup,1860,648.0,0.3303000758615111
