gisjoin,state,county,year,ag_diversity_index,ag_diversity_z
G0100010,Alabama,Autauga,1880,0.5447404245833658,-0.2934376571598214
G0100030,Alabama,Baldwin,1880,0.7049326238900835,0.8204122068245642
G0100050,Alabama,Barbour,1880,0.5409910226577452,-0.31950803288940993
G0100070,Alabama,Bibb,1880,0.6357534090647656,0.3393946581723336
G0100090,Alabama,Blount,1880,0.6507103030207052,0.44339306989620303
G0100110,Alabama,Bullock,1880,0.5230097959680752,-0.4445352626124587
G0100130,Alabama,Butler,1880,0.5910376280767632,0.028476481213679166
G0100150,Alabama,Calhoun,1880,0.6890061899535056,0.7096723808480963
G0100170,Alabama,Chambers,1880,0.6214830227966824,0.24016967797666847
G0100190,Alabama,Cherokee,1880,0.6781583791883079,0.6342452839130639
G0100210,Alabama,Chilton,1880,0.6413798266597017,0.37851631640513944
G0100230,Alabama,Choctaw,1880,0.5603159594647877,-0.185137705700023
G0100250,Alabama,Clarke,1880,0.583182416334552,-0.026142448849687097
G0100270,Alabama,Clay,1880,0.681313220191768,0.6561815532058535
G0100290,Alabama,Cleburne,1880,0.675465319849718,0.6155198791120049
G0100310,Alabama,Coffee,1880,0.5750373318659716,-0.08277692460277192
G0100330,Alabama,Colbert,1880,0.5863454850434261,-0.004148970600431958
G0100350,Alabama,Conecuh,1880,0.5884017135111157,0.01014841597000662
G0100370,Alabama,Coosa,1880,0.6674163296457467,0.5595535668776667
G0100390,Alabama,Covington,1880,0.5649322488151225,-0.15303968040768087
G0100410,Alabama,Crenshaw,1880,0.5880678548547348,0.007827026909807251
G0100430,Alabama,Cullman,1880,0.561932628386305,-0.1738966685825293
G0100450,Alabama,Dale,1880,0.5853039919032612,-0.01139069021932653
G0100470,Alabama,Dallas,1880,0.4827374343294696,-0.7245574155489014
G0100490,Alabama,DeKalb,1880,0.6405674030568096,0.3728673651859451
G0100510,Alabama,Elmore,1880,0.6198862907751932,0.22906726629462396
G0100530,Alabama,Escambia,1880,0.5655523416377198,-0.14872804532746522
G0100550,Alabama,Etowah,1880,0.6649035030665096,0.5420813581458258
G0100570,Alabama,Fayette,1880,0.6247008873475869,0.2625441631754293
G0100590,Alabama,Franklin,1880,0.5731513290973886,-0.09589069628673572
G0100610,Alabama,Geneva,1880,0.5770277689175154,-0.0689369995082511
G0100630,Alabama,Greene,1880,0.480163452206247,-0.742454851567994
G0100650,Alabama,Hale,1880,0.5265206052088596,-0.4201238717192266
G0100670,Alabama,Henry,1880,0.5809464683327241,-0.041689462927093184
G0100710,Alabama,Jackson,1880,0.5826600831189621,-0.029774340937175042
G0100730,Alabama,Jefferson,1880,0.6563571986648995,0.48265711628823027
G0100750,Alabama,Lamar,1880,0.6343208172388903,0.3294335475982719
