gisjoin,year,bpd_fc
G0105.00,1850,0.7290528750706131
G0109.00,1850,0.8080267919840112
G01017.0,1850,0.6505107943496711
G01019.0,1850,0.7783863123975738
G01025.0,1850,0.7859912398298818
G01035.0,1850,0.7690947365866679
G01037.0,1850,0.7651772358046585
G01039.0,1850,0.7438325007971092
G01057.0,1850,0.7984298040563217
G01059.0,1850,0.8312360471217359
G0101330,1850,0.8123251417769376
G01071.0,1850,0.7943599127562319
G01077.0,1850,0.8191515864158163
G01083.0,1850,0.8186182096022723
G01085.0,1850,0.7361820082998011
G01089.0,1850,0.815273316451724
G01099.0,1850,0.7589119113573407
G0101070,1850,0.7066791481902885
G0101110,1850,0.6556780497442551
G0101150,1850,0.7655380333951762
G0101290,1850,0.7962646484375
G0501.00,1850,0.8915574883279433
G0503.00,1850,0.8767927658137725
G05015.0,1850,0.7953896922376668
G05019.0,1850,0.8904266357421875
G05029.0,1850,0.8479332778508595
G05035.0,1850,0.8828409836474018
G05041.0,1850,0.9043261932872324
G05043.0,1850,0.8768932763891806
G05047.0,1850,0.8399368989438303
G05055.0,1850,0.8000255652627076
G05063.0,1850,0.8326307397959184
G05067.0,1850,0.8577365539591195
G05069.0,1850,0.8896679620047073
G1301550,1850,0.5084071236692866
G1301570,1850,0.5926026427217772
G1301630,1850,0.303840699685943
G1301690,1850,0.5909054249964101
G1301850,1850,0.5688690842483453
G1301870,1850,0.7032770637316109
G1301950,1850,0.4498652032606958
G1301910,1850,0.4979168137843373
G1302110,1850,0.500805353934916
G1302350,1850,0.5824268262796155
G1302510,1850,0.3250002600834347
G1302590,1850,0.5355191536829356
G1302610,1850,0.5944844341724214
G1302630,1850,0.5921454090444336
G1303030,1850,0.4466128959047578
G1303170,1850,0.3723211871281774
G1303190,1850,0.4131860164721476
G1701.00,1850,0.9074985465613352
G1707.00,1850,0.6847900812139366
G1709.00,1850,0.8676424822990421
G17015.0,1850,0.8746272325615996
G17021.0,1850,0.8331116540646821
G17023.0,1850,0.8838131571387533
G17027.0,1850,0.8835421138628136
G17031.0,1850,0.770675236558515
G17033.0,1850,0.8855641893616957
G17039.0,1850,0.8442269480434299
G17047.0,1850,0.8895742589436283
G17051.0,1850,0.8787072234722021
G17055.0,1850,0.8125043335896404
G1701870,1850,0.8870625065219659
G1701890,1850,0.8615233513590255
G1701950,1850,0.8398118915518609
G1701970,1850,0.7812569326082839
G1701990,1850,0.7688865550022634
G1702010,1850,0.7796587158010628
G1807.00,1850,0.7899888845064362
G18011.0,1850,0.833374773856137
G18013.0,1850,0.8528230381512235
G18019.0,1850,0.8134835329995549
G18023.0,1850,0.844074411400231
G18027.0,1850,0.8240357262786542
G18029.0,1850,0.8737227759106782
G18031.0,1850,0.8337809853292268
G18033.0,1850,0.7822177278297876
G18037.0,1850,0.8070371971941759
G18041.0,1850,0.8829965997326088
G18043.0,1850,0.8614034570784928
G18045.0,1850,0.8552739003852823
G18047.0,1850,0.8632121138163531
G18049.0,1850,0.8495058205600868
G18053.0,1850,0.8328943357259305
G18057.0,1850,0.860489117746375
G18059.0,1850,0.8654832579609248
G18061.0,1850,0.8009828747666585
G18063.0,1850,0.7895986874176165
G18065.0,1850,0.8460347987398847
G1801650,1850,0.865215718323452
G1801670,1850,0.8795921825784229
G1801690,1850,0.8372855056469359
G4701830,1850,0.7377168467203237
G4701850,1850,0.6659178459038819
G48015.0,1850,0.8988519045923816
G48037.0,1850,0.8516794929832503
G48039.0,1850,0.9295052229936824
G48057.0,1850,0.9260355029585798
G48067.0,1850,0.8539480242079032
G48085.0,1850,0.8605807871961234
G48089.0,1850,0.8978377306090062
G48097.0,1850,0.8385682980277575
G4801210,1850,0.8638985005767013
G4804390,1850,0.8626734842951059
G4801490,1850,0.9048825253926202
G4801670,1850,0.9207733298101908
G4801750,1850,0.91
G4802030,1850,0.8833295826171061
